Date,Price,Open,High,Low,Vol.,Change %
2019/8/14,207.22,209.78,210.51,206.55,2.26M,-3.07%
2019/8/15,206.81,207.36,207.77,205.06,643.22K,-0.20%
2019/8/16,210.53,208.82,211.09,208.29,354.80K,1.80%
2019/8/19,213.64,213.84,214.46,212.6,659.25K,1.48%
2019/8/20,212.69,213.36,214.34,212.39,339.43K,-0.44%
2019/8/21,215.15,214.75,215.75,214.15,372.29K,1.16%
2019/8/22,214.64,215.71,216.15,212.85,259.49K,-0.24%
2019/8/23,207.79,213.47,215.5,207.05,626.03K,-3.19%
2019/8/26,210.42,210.37,210.68,208.86,377.28K,1.27%
2019/8/27,209.9,211.83,212.18,208.75,362.47K,-0.25%
2019/8/28,210,208.77,210.38,207.16,300.68K,0.05%
2019/8/29,213.7,212.84,214.35,212.29,415.89K,1.76%
2019/8/30,213.56,214.99,215.22,211.96,317.55K,-0.07%
2019/9/3,210.93,211.96,212.64,210.15,460.51K,-1.23%
2019/9/4,214.58,213.22,214.58,213.06,250.90K,1.73%
2019/9/5,218.92,217.27,219.77,217.2,439.01K,2.02%
2019/9/6,218.61,219.41,219.52,218.2,274.90K,-0.14%
2019/9/9,216.93,219.49,219.67,215.63,700.39K,-0.77%
2019/9/10,215.85,215.72,215.85,213.3,439.62K,-0.50%
2019/9/11,218.07,216.39,218.2,215.94,290.42K,1.03%
2019/9/12,219.09,219.5,221,218.35,1.67M,0.47%
2019/9/13,217.54,218.88,219,217.37,285.16K,-0.71%
2019/9/16,217.33,215.87,217.77,215.46,291.05K,-0.10%
2019/9/17,218.11,217.43,218.25,217.01,196.44K,0.36%
2019/9/18,218.23,217.93,218.29,215.25,277.98K,0.06%
2019/9/19,218.72,218.84,220.56,218.37,467.70K,0.22%
2019/9/20,216.4,219.39,219.44,215.55,395.12K,-1.06%
2019/9/23,216.88,216.25,217.53,215.7,296.44K,0.22%
2019/9/24,214.43,218.14,219,213.63,543.33K,-1.13%
2019/9/25,216.99,214.21,217.62,212.23,350.96K,1.19%
2019/9/26,216.36,216.17,217.04,214.8,262.07K,-0.29%
2019/9/27,213.22,216.6,216.68,211.61,518.56K,-1.45%
2019/9/30,215.55,214.05,216,213.7,356.93K,1.09%
2019/10/1,213.61,216.51,217.91,213.39,522.62K,-0.90%
2019/10/2,209.61,212.18,212.29,208.01,601.98K,-1.87%
2019/10/3,212.32,209.52,212.34,206.92,505.19K,1.29%
2019/10/4,215.91,213.64,216.12,213.62,397.87K,1.69%
2019/10/7,215.23,215.17,216.9,214.98,347.19K,-0.31%
2019/10/8,211.05,213.72,214.01,210.94,483.76K,-1.94%
2019/10/9,214.06,213.16,214.84,212.85,362.36K,1.43%
2019/10/10,215.35,213.96,216.27,213.94,328.02K,0.60%
2019/10/11,218.5,217.88,220.43,217.88,782.72K,1.46%
2019/10/14,218.49,218.27,219.26,218.25,283.23K,0.00%
2019/10/15,220.76,219.12,221.31,218.94,384.99K,1.04%
2019/10/16,218.83,219.44,219.44,217.98,352.19K,-0.87%
